# Renewables.ninja Solar PV (Point API) - 62.240, 25.746 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Helsinki, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Helsinki", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "62.239529280915335", "lon": "25.746290759606264", "date_from": "2013-01-01", "date_to": "2013-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2013-01-01 00:00,2013-01-01 02:00,0,0,0,-0.024
2013-01-01 01:00,2013-01-01 03:00,0,0,0,0.019
2013-01-01 02:00,2013-01-01 04:00,0,0,0,0.014
2013-01-01 03:00,2013-01-01 05:00,0,0,0,-0.006
2013-01-01 04:00,2013-01-01 06:00,0,0,0,-0.029
2013-01-01 05:00,2013-01-01 07:00,0,0,0,-0.089
2013-01-01 06:00,2013-01-01 08:00,0,0,0,-0.170
2013-01-01 07:00,2013-01-01 09:00,0,0,0,-0.208
2013-01-01 08:00,2013-01-01 10:00,0,0,0.002,-0.210
2013-01-01 09:00,2013-01-01 11:00,0,0,0.005,-0.145
2013-01-01 10:00,2013-01-01 12:00,0.001,0,0.006,-0.065
2013-01-01 11:00,2013-01-01 13:00,0,0,0.003,-0.013
2013-01-01 12:00,2013-01-01 14:00,0,0,0,0.006
2013-01-01 13:00,2013-01-01 15:00,0,0,0,0.055
2013-01-01 14:00,2013-01-01 16:00,0,0,0,0.116
2013-01-01 15:00,2013-01-01 17:00,0,0,0,0.151
2013-01-01 16:00,2013-01-01 18:00,0,0,0,0.159
2013-01-01 17:00,2013-01-01 19:00,0,0,0,0.150
2013-01-01 18:00,2013-01-01 20:00,0,0,0,0.151
2013-01-01 19:00,2013-01-01 21:00,0,0,0,0.151
2013-01-01 20:00,2013-01-01 22:00,0,0,0,0.121
2013-01-01 21:00,2013-01-01 23:00,0,0,0,0.080
2013-01-01 22:00,2013-01-02 00:00,0,0,0,0.070
2013-01-01 23:00,2013-01-02 01:00,0,0,0,0.076
2013-01-02 00:00,2013-01-02 02:00,0,0,0,0.071
2013-01-02 01:00,2013-01-02 03:00,0,0,0,0.026
2013-01-02 02:00,2013-01-02 04:00,0,0,0,-0.056
2013-01-02 03:00,2013-01-02 05:00,0,0,0,-0.252
2013-01-02 04:00,2013-01-02 06:00,0,0,0,-0.443
2013-01-02 05:00,2013-01-02 07:00,0,0,0,-0.728
2013-01-02 06:00,2013-01-02 08:00,0,0,0,-0.911
2013-01-02 07:00,2013-01-02 09:00,0,0,0,-0.904
2013-01-02 08:00,2013-01-02 10:00,0,0.001,0.004,-0.945
2013-01-02 09:00,2013-01-02 11:00,0.002,0.001,0.009,-0.963
2013-01-02 10:00,2013-01-02 12:00,0.004,0.001,0.011,-0.995
2013-01-02 11:00,2013-01-02 13:00,0.003,0.001,0.010,-1.051
2013-01-02 12:00,2013-01-02 14:00,0,0.001,0.003,-1.183
2013-01-02 13:00,2013-01-02 15:00,0,0,0,-1.485
2013-01-02 14:00,2013-01-02 16:00,0,0,0,-1.896
2013-01-02 15:00,2013-01-02 17:00,0,0,0,-2.431
2013-01-02 16:00,2013-01-02 18:00,0,0,0,-2.916
2013-01-02 17:00,2013-01-02 19:00,0,0,0,-3.302
2013-01-02 18:00,2013-01-02 20:00,0,0,0,-3.663
2013-01-02 19:00,2013-01-02 21:00,0,0,0,-3.903
2013-01-02 20:00,2013-01-02 22:00,0,0,0,-4.080
2013-01-02 21:00,2013-01-02 23:00,0,0,0,-4.192
